   59.7376976   # Box length L  
   10648        # Number of sites 
   1.35767496       33.9418755       17.6497746    
   1.35767496       36.6572227       20.3651237    
   4.07302475       36.6572227       17.6497746    
   4.07302475       33.9418755       20.3651237    
   0.00000000       32.5841980       21.7227993    
   0.00000000       35.2995491       24.4381485    
   2.71534991       35.2995491       21.7227993    
   2.71534991       32.5841980       24.4381485    
   1.35767496       33.9418755       23.0804749    
   1.35767496       36.6572227       25.7958241    
   4.07302475       36.6572227       23.0804749    
   4.07302475       33.9418755       25.7958241    
   0.00000000       32.5841980       27.1534996    
   0.00000000       35.2995491       29.8688488    
   2.71534991       35.2995491       27.1534996    
   2.71534991       32.5841980       29.8688488    
   1.35767496       33.9418755       28.5111732    
   1.35767496       36.6572227       31.2265244    
   4.07302475       36.6572227       28.5111732    
   4.07302475       33.9418755       31.2265244    
   0.00000000       32.5841980       32.5841980    
   0.00000000       35.2995491       35.2995491    
   2.71534991       35.2995491       32.5841980    
   2.71534991       32.5841980       35.2995491    
   1.35767496       33.9418755       33.9418755    
   1.35767496       36.6572227       36.6572227    
   4.07302475       36.6572227       33.9418755    
   4.07302475       33.9418755       36.6572227    
   0.00000000       32.5841980       38.0149002    
   0.00000000       35.2995491       40.7302475    
   2.71534991       35.2995491       38.0149002    
   2.71534991       32.5841980       40.7302475    
   1.35767496       33.9418755       39.3725739    
   1.35767496       36.6572227       42.0879250    
   4.07302475       36.6572227       39.3725739    
   4.07302475       33.9418755       42.0879250    
   0.00000000       32.5841980       43.4455986    
   0.00000000       35.2995491       46.1609497    
   2.71534991       35.2995491       43.4455986    
   2.71534991       32.5841980       46.1609497    
   1.35767496       33.9418755       44.8032722    
   1.35767496       36.6572227       47.5186234    
   4.07302475       36.6572227       44.8032722    
   4.07302475       33.9418755       47.5186234    
   0.00000000       32.5841980       48.8762970    
   0.00000000       35.2995491       51.5916481    
   2.71534991       35.2995491       48.8762970    
   2.71534991       32.5841980       51.5916481    
   1.35767496       33.9418755       50.2339745    
   1.35767496       36.6572227       52.9493217    
   4.07302475       36.6572227       50.2339745    
   4.07302475       33.9418755       52.9493217    
   0.00000000       32.5841980       54.3069992    
   0.00000000       35.2995491       57.0223465    
   2.71534991       35.2995491       54.3069992    
   2.71534991       32.5841980       57.0223465    
   1.35767496       33.9418755       55.6646729    
   1.35767496       36.6572227       58.3800240    
   4.07302475       36.6572227       55.6646729    
   4.07302475       33.9418755       58.3800240    
   0.00000000       38.0149002       0.00000000    
   0.00000000       40.7302475       2.71534991    
   2.71534991       40.7302475       0.00000000    
   2.71534991       38.0149002       2.71534991    
